epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,127.85,0.77101,0.80369,0.84292,0.51023,0.43737,0.49084,0.38355,0.74349,1.05461,0.84701,0.000359409,0.000359409,0.000359409
43,130.262,0.75505,0.76342,0.83004,0.42948,0.53636,0.49276,0.38539,0.74275,1.06747,0.84694,0.000341077,0.000341077,0.000341077
44,132.464,0.76305,0.8203,0.83985,0.41836,0.4837,0.50226,0.39766,0.74581,1.05554,0.84887,0.000322745,0.000322745,0.000322745
45,134.727,0.72311,0.73505,0.82891,0.41836,0.4837,0.50226,0.39766,0.74581,1.05554,0.84887,0.000304414,0.000304414,0.000304414
46,136.853,0.75156,0.77227,0.83043,0.40291,0.52111,0.49459,0.39219,0.74235,1.02963,0.85031,0.000286083,0.000286083,0.000286083
47,139.352,0.72884,0.74105,0.84191,0.4237,0.58997,0.51097,0.40405,0.73586,1.02114,0.84818,0.000267751,0.000267751,0.000267751
48,143.028,0.73131,0.8029,0.83716,0.43973,0.59536,0.5091,0.40056,0.73946,1.0272,0.84976,0.00024942,0.00024942,0.00024942
49,145.309,0.74487,0.78332,0.8458,0.43973,0.59536,0.5091,0.40056,0.73946,1.0272,0.84976,0.000231088,0.000231088,0.000231088
50,147.192,0.71469,0.72552,0.83379,0.46229,0.51728,0.50382,0.39249,0.733,1.02018,0.85139,0.000212757,0.000212757,0.000212757
51,150.978,0.70003,0.77242,0.83781,0.47421,0.5107,0.49866,0.39032,0.72773,1.01869,0.85127,0.000194425,0.000194425,0.000194425
52,154.093,0.74529,0.75839,0.83925,0.4757,0.47523,0.50419,0.39144,0.73183,1.04759,0.8527,0.000176094,0.000176094,0.000176094
53,157.359,0.66687,0.71873,0.82887,0.4757,0.47523,0.50419,0.39144,0.73183,1.04759,0.8527,0.000157762,0.000157762,0.000157762
54,159.109,0.67694,0.71309,0.83563,0.44614,0.50731,0.50443,0.38191,0.73451,1.06155,0.85475,0.000139431,0.000139431,0.000139431
55,160.745,0.66964,0.69328,0.82537,0.42283,0.56574,0.50341,0.38333,0.72861,1.04346,0.85284,0.000121099,0.000121099,0.000121099
56,162.487,0.71816,0.72873,0.82949,0.48089,0.54636,0.50784,0.38841,0.72154,1.02359,0.8512,0.000102768,0.000102768,0.000102768
57,164.136,0.67348,0.68671,0.83097,0.48089,0.54636,0.50784,0.38841,0.72154,1.02359,0.8512,8.4436e-05,8.4436e-05,8.4436e-05
58,165.835,0.67244,0.65969,0.82022,0.48064,0.54861,0.51702,0.38756,0.71628,1.01481,0.84806,6.61045e-05,6.61045e-05,6.61045e-05
59,167.405,0.67272,0.68545,0.82601,0.47236,0.54882,0.51902,0.39359,0.71376,1.00974,0.84699,4.7773e-05,4.7773e-05,4.7773e-05
60,169.806,0.66362,0.67543,0.8394,0.47337,0.55719,0.52029,0.3916,0.71155,1.0027,0.84658,2.94415e-05,2.94415e-05,2.94415e-05
